index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sz399905,2016-05-27,5728.9,5739.59,5712.48,5780.07,5998470400.0,80771650000.0,-0.000835597861566
sz399905,2016-05-26,5705.07,5744.39,5598.66,5744.85,5966572700.0,79416820000.0,0.0051109501363
sz399905,2016-05-25,5780.27,5715.18,5691.61,5803.98,5330295600.0,74090920000.0,-0.00487534780383
sz399905,2016-05-24,5800.0,5743.18,5701.66,5800.17,5795641600.0,76372610000.0,-0.0114123811425
sz399905,2016-05-23,5752.15,5809.48,5752.08,5811.68,6277779200.0,85829080000.0,0.0133579863594
sz399905,2016-05-20,5619.94,5732.9,5600.49,5733.25,5593607600.0,76729350000.0,0.0116769283167
sz399905,2016-05-19,5628.73,5666.73,5628.65,5729.4,5643894000.0,76915660000.0,0.0063112770125
sz399905,2016-05-18,5743.03,5631.19,5563.06,5743.03,6370485600.0,79484190000.0,-0.0274854326344
sz399905,2016-05-17,5814.1,5790.34,5763.5,5853.61,6526013800.0,88432070000.0,-0.00381932855516
sz399905,2016-05-16,5692.6,5812.54,5665.21,5813.04,5796089800.0,76918600000.0,0.0171901769417
sz399905,2016-05-13,5708.63,5714.31,5677.94,5779.89,5307673600.0,70802830000.0,-0.00212172965497
sz399905,2016-05-12,5647.06,5726.46,5559.69,5727.58,5821581400.0,74358070000.0,0.000532899093373
sz399905,2016-05-11,5770.35,5723.41,5700.1,5806.47,5801112600.0,76234410712.0,-0.00269842840853
sz399905,2016-05-10,5728.11,5738.9,5697.09,5766.16,5265774500.0,66883087275.0,-0.000827174789816
sz399905,2016-05-09,5910.12,5743.65,5714.12,5910.12,7823338100.0,96969986068.0,-0.0365415418866
sz399905,2016-05-06,6208.44,5961.49,5961.46,6226.88,9805691800.0,1.3081e+11,-0.0390611135048
sz399905,2016-05-05,6159.73,6203.82,6133.38,6206.53,6455896700.0,91831346308.0,0.005516239388
sz399905,2016-05-04,6144.57,6169.78,6136.3,6213.19,7455574000.0,1.05223e+11,0.000377627461834
sz399905,2016-05-03,5991.83,6167.45,5960.94,6167.8,7583105900.0,1.03426e+11,0.0303829494617
sz399905,2016-04-29,5963.91,5985.59,5953.13,6018.27,4970418800.0,66777694275.0,-0.000790440725376
sz399905,2016-04-28,6014.13,5990.33,5888.06,6027.2,6043070100.0,79015956809.0,-0.00438280193176
sz399905,2016-04-27,6051.44,6016.7,6005.16,6086.36,6073158100.0,80741694223.0,-0.0049735619313
sz399905,2016-04-26,5971.81,6046.77,5958.4,6047.06,5605530500.0,73373212045.0,0.011491320704
sz399905,2016-04-25,5997.21,5978.08,5897.74,5997.22,5703433300.0,73555799591.0,-0.00553006660767
sz399905,2016-04-22,5930.53,6011.32,5915.31,6011.46,6232381100.0,80109649141.0,0.0068062576436
sz399905,2016-04-21,6000.31,5970.68,5960.5,6085.94,8480859200.0,1.06422e+11,-0.0085568212217
sz399905,2016-04-20,6331.87,6022.21,5923.43,6344.78,11732538700.0,1.51257e+11,-0.0453401422174
sz399905,2016-04-19,6314.58,6308.23,6262.61,6334.9,6943866700.0,94250908350.0,0.00430283885155
sz399905,2016-04-18,6343.7,6281.2,6241.98,6343.7,8040047200.0,1.06856e+11,-0.0161563824038
sz399905,2016-04-15,6403.25,6384.35,6345.55,6414.79,8279805500.0,1.08425e+11,-0.00273436371177
sz399905,2016-04-14,6375.49,6401.86,6324.46,6402.51,9908817600.0,1.26152e+11,0.00908369279405
sz399905,2016-04-13,6292.57,6344.23,6292.57,6421.73,13298998400.0,1.68482e+11,0.0146259907404
sz399905,2016-04-12,6299.47,6252.77,6182.82,6316.25,8706176700.0,1.18671e+11,-0.00817331028028
sz399905,2016-04-11,6226.38,6304.3,6226.38,6334.54,10219997800.0,1.36135e+11,0.0219749829058
sz399905,2016-04-08,6176.86,6168.74,6087.1,6199.15,8867017300.0,1.17274e+11,-0.00966965025059
sz399905,2016-04-07,6344.37,6228.97,6228.97,6355.33,10992715000.0,1.45352e+11,-0.0149380858565
sz399905,2016-04-06,6262.6,6323.43,6243.11,6324.21,10467457900.0,1.3941e+11,0.00586184895674
sz399905,2016-04-05,6136.69,6286.58,6117.18,6293.47,10554304900.0,1.3736e+11,0.0264599982235
sz399905,2016-04-01,6129.72,6124.53,6022.97,6157.74,8521953300.0,1.09236e+11,-0.0050823497916
sz399905,2016-03-31,6164.28,6155.81,6133.6,6211.14,9491572200.0,1.30216e+11,0.00298346086348
sz399905,2016-03-30,5981.42,6137.5,5981.42,6137.79,8806129200.0,1.16511e+11,0.0364135162103
sz399905,2016-03-29,6029.94,5921.87,5875.07,6041.38,7900397500.0,99950096210.0,-0.0191976253516
sz399905,2016-03-28,6114.77,6037.78,6017.49,6167.24,9378233000.0,1.24278e+11,-0.00652463187159
sz399905,2016-03-25,6006.67,6077.43,5996.54,6081.09,7823131200.0,1.03215e+11,0.00980439397424
sz399905,2016-03-24,6062.76,6018.42,6008.54,6127.51,10143974300.0,1.34876e+11,-0.0164312074949
sz399905,2016-03-23,6054.22,6118.97,6031.27,6119.31,8966132400.0,1.18559e+11,0.00715563447372
sz399905,2016-03-22,6045.84,6075.49,6013.05,6130.27,10772165400.0,1.39916e+11,-0.00393295757459
sz399905,2016-03-21,6016.69,6099.48,6001.32,6100.03,13182551400.0,1.66761e+11,0.0252498502756
sz399905,2016-03-18,5774.3,5949.26,5768.91,5967.46,12516034100.0,1.57756e+11,0.0353792002228
sz399905,2016-03-17,5589.22,5745.98,5579.73,5759.54,8457575800.0,1.06178e+11,0.0329278184168
sz399905,2016-03-16,5662.44,5562.8,5531.33,5689.28,5748733200.0,69542980639.0,-0.0136524320628
sz399905,2016-03-15,5672.75,5639.8,5609.0,5701.57,6626890000.0,82607046675.0,-0.00892508509663
sz399905,2016-03-14,5568.46,5690.59,5568.46,5748.33,7999741800.0,95153496604.0,0.032965800215
sz399905,2016-03-11,5460.54,5508.98,5433.32,5545.34,4980002200.0,55449986936.0,-0.00234808440789
sz399905,2016-03-10,5617.42,5521.95,5517.02,5657.26,5955941100.0,67298081387.0,-0.0169288511133
sz399905,2016-03-09,5627.14,5617.04,5583.07,5709.52,7261532300.0,80804882924.0,-0.0255514739367
sz399905,2016-03-08,5751.39,5764.33,5538.15,5764.33,9814965600.0,1.06369e+11,0.00204726670686
sz399905,2016-03-07,5686.69,5752.55,5681.85,5788.47,8717058100.0,94467279705.0,0.0233008233834
sz399905,2016-03-04,5755.12,5621.56,5542.98,5805.41,10882994800.0,1.17455e+11,-0.026902651681
sz399905,2016-03-03,5757.36,5776.98,5745.62,5872.92,12852736000.0,1.36299e+11,0.00414190630938
sz399905,2016-03-02,5464.73,5753.15,5462.74,5763.8,11067195200.0,1.17963e+11,0.051065334097
sz399905,2016-03-01,5361.79,5473.64,5294.54,5504.75,8080357100.0,87222593763.0,0.0230263563666
sz399905,2016-02-29,5618.51,5350.43,5286.35,5618.51,8670315300.0,93375908218.0,-0.0528424988909
sz399905,2016-02-26,5668.33,5648.94,5517.63,5701.05,7985789500.0,91756326917.0,0.00406786144174
sz399905,2016-02-25,6097.42,5626.05,5604.1,6097.54,11066865300.0,1.29597e+11,-0.0793630481736
sz399905,2016-02-24,6041.75,6111.04,5975.14,6116.26,8981957900.0,1.11114e+11,0.00667869203525
sz399905,2016-02-23,6102.51,6070.5,5982.21,6118.65,8787487600.0,1.06557e+11,-0.00544307138446
sz399905,2016-02-22,6055.68,6103.72,6029.46,6111.69,9432052000.0,1.10802e+11,0.0207720825565
