index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sh000046,2009-06-25,2767.82,2753.24,2747.95,2768.51,6052416748.0,68389654257.0,-0.00303192922384
sh000046,2009-06-24,2714.99,2761.61,2708.86,2761.61,6780488029.0,74705186359.0,0.0175131425944
sh000046,2009-06-23,2689.15,2714.08,2686.57,2733.65,6497549142.0,68589495410.0,-0.0037861672572
sh000046,2009-06-22,2749.9,2724.39,2717.67,2749.9,7190490734.0,75434136255.0,-0.00401080368887
sh000046,2009-06-19,2733.85,2735.36,2714.22,2737.93,7430907461.0,77242803588.0,0.00132919383351
sh000046,2009-06-18,2721.37,2731.73,2718.11,2731.73,6736427078.0,74997240010.0,0.0100997738145
sh000046,2009-06-17,2663.29,2704.42,2654.07,2706.33,5521089385.0,62354881151.0,0.0163217755831
sh000046,2009-06-16,2643.31,2660.99,2642.85,2667.49,4634862265.0,50330205193.0,-0.000955123822568
sh000046,2009-06-15,2627.41,2663.53,2620.77,2663.53,4615786756.0,49060749543.0,0.00986115745094
sh000046,2009-06-12,2689.2,2637.52,2617.62,2696.26,6404922902.0,65156242976.0,-0.0206855631767
sh000046,2009-06-11,2711.6,2693.23,2687.87,2722.61,6877794304.0,69776713925.0,-0.00853915823985
sh000046,2009-06-10,2692.37,2716.43,2686.79,2716.43,6872916517.0,69720960235.0,0.012458437399
sh000046,2009-06-09,2677.9,2683.0,2625.52,2684.17,6285806846.0,67033137602.0,0.00120868942839
sh000046,2009-06-08,2690.98,2679.76,2664.54,2704.08,6169688841.0,70990244866.0,-0.00491940245302
sh000046,2009-06-05,2709.96,2693.01,2690.64,2720.17,7609524812.0,84085866136.0,-0.00259923230426
sh000046,2009-06-04,2699.87,2700.03,2661.79,2703.23,8027300973.0,87316892379.0,-0.00425437127798
sh000046,2009-06-03,2683.32,2711.56,2682.48,2711.56,7460949019.0,80140099065.0,0.0101474299871
sh000046,2009-06-02,2684.46,2684.33,2676.44,2696.5,7627014847.0,82847207548.0,0.0056378583556
sh000046,2009-06-01,2631.74,2669.28,2631.21,2669.56,6547166403.0,72246163519.0,0.0257419624577
sh000046,2009-05-27,2606.62,2602.29,2581.09,2613.31,5018961820.0,53599155573.0,0.00296694275396
sh000046,2009-05-26,2612.39,2594.59,2594.38,2634.99,6681268829.0,71364799817.0,-0.00530739899879
sh000046,2009-05-25,2536.78,2608.43,2525.55,2613.2,6105584591.0,65061182511.0,0.00444183620541
sh000046,2009-05-22,2592.89,2596.9,2583.79,2623.03,5308985677.0,56416875792.0,-0.00323988423776
sh000046,2009-05-21,2641.37,2605.34,2598.76,2656.23,7113582697.0,75567947695.0,-0.0176890918524
sh000046,2009-05-20,2667.5,2652.26,2652.26,2681.42,7247123333.0,75361677914.0,-0.00547200085194
sh000046,2009-05-19,2655.74,2666.85,2648.52,2671.73,7658144403.0,79935424634.0,0.0103376999669
sh000046,2009-05-18,2613.11,2639.56,2569.63,2641.54,5943482922.0,60657831858.0,0.00732300325183
sh000046,2009-05-15,2622.01,2620.37,2598.96,2629.61,6130337465.0,60736441433.0,0.00380972009188
sh000046,2009-05-14,2582.9,2610.43,2575.03,2614.21,6241167431.0,64169401101.0,0.00208945540953
sh000046,2009-05-13,2589.58,2604.99,2579.54,2612.46,7102496332.0,72840236802.0,0.00737300742985
sh000046,2009-05-12,2497.56,2585.92,2497.56,2585.92,6036415713.0,59385086002.0,0.0263464968578
sh000046,2009-05-11,2623.84,2519.54,2519.54,2624.04,8392880031.0,83982696054.0,-0.0359219366829
sh000046,2009-05-08,2605.16,2613.42,2572.14,2623.77,8226615639.0,83296872776.0,-0.00270558330888
sh000046,2009-05-07,2648.23,2620.51,2576.72,2651.87,9347750235.0,95856260326.0,-0.0038882654892
sh000046,2009-05-06,2582.45,2630.74,2582.45,2630.74,8239329739.0,84969657097.0,0.0163423072242
sh000046,2009-05-05,2584.96,2588.44,2569.84,2598.79,8297218003.0,84796303776.0,0.00881591229298
sh000046,2009-05-04,2493.11,2565.82,2493.11,2565.82,7589348734.0,77222730953.0,0.0335380283619
sh000046,2009-04-30,2456.05,2482.56,2456.05,2491.55,6769279139.0,69506374156.0,0.0160451772995
sh000046,2009-04-29,2379.59,2443.35,2379.59,2445.52,6222082646.0,63389662089.0,0.0274650783545
sh000046,2009-04-28,2338.74,2378.04,2338.74,2378.16,4699422956.0,48626205695.0,0.00887995326474
sh000046,2009-04-27,2431.75,2357.11,2354.92,2432.24,5730255500.0,56184117673.0,-0.03353168884
sh000046,2009-04-24,2469.11,2438.89,2438.32,2471.74,6122589571.0,62538907904.0,-0.00828863512805
sh000046,2009-04-23,2412.55,2459.27,2404.26,2467.53,6545391809.0,63559637384.0,0.0107408666261
sh000046,2009-04-22,2564.98,2433.14,2433.14,2578.21,9866781738.0,96583341395.0,-0.0474617635959
sh000046,2009-04-21,2537.29,2554.37,2517.07,2568.12,8983157490.0,88443829677.0,-0.00430922415645
sh000046,2009-04-20,2494.13,2565.43,2494.13,2565.43,7971800772.0,79786988451.0,0.0254226516334
sh000046,2009-04-17,2529.43,2501.82,2473.82,2542.49,8753858694.0,90265671224.0,-0.0143446191328
sh000046,2009-04-16,2538.25,2538.23,2509.4,2548.42,10002413440.0,1.0093e+11,0.00160881902739
sh000046,2009-04-15,2486.52,2534.16,2469.91,2534.16,9899786446.0,1.0057e+11,0.0141374163108
sh000046,2009-04-14,2468.92,2498.83,2459.62,2502.51,8962967707.0,91353517151.0,0.00997677582487
sh000046,2009-04-13,2441.29,2474.15,2441.29,2477.67,9806718030.0,1.00567e+11,0.0219727702048
sh000046,2009-04-10,2355.23,2420.95,2351.76,2421.37,8353964969.0,87106793918.0,0.0347735398648
sh000046,2009-04-09,2299.89,2339.6,2281.75,2339.6,5810029537.0,57920407537.0,0.0154152834302
sh000046,2009-04-08,2374.35,2304.08,2304.08,2375.82,7252105180.0,71754315859.0,-0.0338570625875
sh000046,2009-04-07,2365.71,2384.82,2353.2,2384.82,6043156501.0,61858108228.0,0.00881137399058
sh000046,2009-04-03,2409.82,2363.99,2353.77,2409.82,8315376623.0,84031371679.0,-0.0138240427712
sh000046,2009-04-02,2400.1,2397.13,2386.95,2417.74,9616954344.0,93414267802.0,0.00284815422203
sh000046,2009-04-01,2355.56,2390.32,2355.56,2403.23,9568143337.0,94280343021.0,0.0182541281695
sh000046,2009-03-31,2267.36,2347.47,2257.58,2347.47,7479454559.0,74484713364.0,0.0137811274863
sh000046,2009-03-30,2325.02,2315.56,2308.65,2333.72,7119265710.0,69133444555.0,-0.00374998816835
sh000046,2009-03-27,2318.89,2324.27,2308.38,2333.17,9267172643.0,86729120497.0,0.0105407320774
sh000046,2009-03-26,2240.17,2300.03,2212.14,2300.03,7767521428.0,74133893734.0,0.0287914720562
sh000046,2009-03-25,2283.11,2235.66,2235.57,2308.15,7603027119.0,73889396438.0,-0.0267742832802
